sr.no,Name of Product,Name of Ingredients,Brand,Category,Ingredients Details,Ingredient Type,Is Harmful,Reason for Harm,Daily Limit,Suitable for Kids,Suitable for Teens,Suitable for Elderly,Nutritional Impact,Healthy Alternatives,Alternative Description,Translation Availability,Harmful Ingredient Count,Total Ingredients,Country of Manufacture,Expiration Date
203,Epigamia Greek Yogurt,Flour,Coca-Cola,Dairy Products,"Milk Chocolate, Sugar",Dairy,No,None,As Desired,Yes,Limited,Yes (Occasional),Rich in fat and carbohydrates,Whole-grain Biscuits,Healthy and natural alternatives,English,1,2,Canada,5 days from packing
204,Coca-Cola Classic,Potatoes,Nestle,Frozen Foods,"Carbonated Water, Sugar",Additive,Yes,None,200g per day,Yes,Yes,No,High sugar content with quick energy boost,Whole-grain Biscuits,Healthy and natural alternatives,English,1,2,Canada,7 days from packing
205,Britannia Biscuits,Milk Chocolate,Coca-Cola,Dairy Products,"Flour, Butter, Sugar",Fat,Yes,Chemical Additives,As Desired,Limited,Limited,No,Provides energy but may contribute to weight gain,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,Canada,14 days from packing
206,Coca-Cola Classic,Potatoes,Britannia,Dairy Products,"Milk, Sugar, Culture",Dairy,No,Chemical Additives,As Desired,Yes,Limited,Yes (Occasional),High sugar content with quick energy boost,Organic Yogurt,Healthy and natural alternatives,English,1,3,Australia,14 days from packing
207,Britannia Biscuits,Potatoes,Nestle,Frozen Foods,"Carbonated Water, Sugar",Protein,Yes,High Sodium,100g per day,No,Yes,Yes (Occasional),Provides energy but may contribute to weight gain,Homemade Snacks,Healthy and natural alternatives,English,1,2,Mexico,5 days from packing
208,Cadbury Dairy Milk,Potatoes,Nestle,Frozen Foods,"Potatoes, Vegetable Oil, Salt",Sweetener,Yes,High Sodium,As Desired,Yes,Yes,Yes,Provides energy but may contribute to weight gain,Organic Yogurt,Healthy and natural alternatives,English,2,3,India,7 days from packing
209,Epigamia Greek Yogurt,Potatoes,Amul,Confectionery,"Carbonated Water, Sugar",Dairy,Yes,Chemical Additives,As Desired,Limited,No,Yes (Occasional),Rich in fat and carbohydrates,Dark Chocolate,Healthy and natural alternatives,English,2,2,India,7 days from packing
210,McCain French Fries,Potatoes,Nestle,Beverages,"Potatoes, Vegetable Oil, Salt",Carbohydrate,No,Chemical Additives,100g per day,No,Yes (Occasional),Yes,High sugar content with quick energy boost,Whole-grain Biscuits,Healthy and natural alternatives,English,1,3,India,5 days from packing
211,Lay's Chips,Milk Chocolate,Haldiram's,Frozen Foods,"Carbonated Water, Sugar",Protein,No,Allergen Content,200g per day,Yes,No,No,Source of fiber and moderate sugar,Homemade Snacks,Healthy and natural alternatives,English,0,2,Mexico,14 days from packing
212,Lay's Chips,Milk,Nestle,Confectionery,"Potatoes, Oil, Salt",Fat,No,Chemical Additives,200g per day,Yes,No,Yes (Occasional),Provides energy but may contribute to weight gain,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,Mexico,5 days from packing
213,Cadbury Dairy Milk,Potatoes,Britannia,Confectionery,"Milk Chocolate, Sugar",Additive,Yes,High Sodium,100g per day,Yes (Occasional),Yes,Yes (Occasional),High sugar content with quick energy boost,Sugar-free Drinks,Healthy and natural alternatives,English,0,2,Canada,5 days from packing
214,Epigamia Greek Yogurt,Milk,Amul,Snacks,"Potatoes, Oil, Salt",Sweetener,Yes,Chemical Additives,200g per day,Limited,Yes (Occasional),No,High sugar content with quick energy boost,Whole-grain Biscuits,Healthy and natural alternatives,English,1,3,Canada,7 days from packing
215,Britannia Biscuits,Carbonated Water,Haldiram's,Frozen Foods,"Flour, Butter, Sugar",Fat,No,High Sodium,200g per day,No,No,No,High sugar content with quick energy boost,Homemade Snacks,Healthy and natural alternatives,English,0,3,Australia,7 days from packing
216,Cadbury Dairy Milk,Potatoes,Haldiram's,Dairy Products,"Milk, Sugar, Culture",Additive,Yes,Allergen Content,As Desired,Limited,No,Limited,Sweet treat with high sugar content,Organic Yogurt,Healthy and natural alternatives,English,1,3,India,5 days from packing
217,Coca-Cola Classic,Potatoes,Haldiram's,Frozen Foods,"Flour, Butter, Sugar",Carbohydrate,Yes,Chemical Additives,100g per day,Yes,No,Limited,Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,1,3,USA,7 days from packing
218,McCain French Fries,Carbonated Water,Nestle,Snacks,"Milk Chocolate, Sugar",Additive,No,Chemical Additives,As Desired,No,Yes,Yes (Occasional),Sweet treat with high sugar content,Organic Yogurt,Healthy and natural alternatives,English,1,2,Canada,14 days from packing
219,Lay's Chips,Carbonated Water,Britannia,Frozen Foods,"Flour, Butter, Sugar",Fat,No,None,100g per day,Yes (Occasional),No,Yes (Occasional),Rich in fat and carbohydrates,Dark Chocolate,Healthy and natural alternatives,English,1,3,India,5 days from packing
220,Cadbury Dairy Milk,Milk,Britannia,Dairy Products,"Milk, Sugar, Culture",Sweetener,Yes,Allergen Content,100g per day,Yes (Occasional),Yes (Occasional),No,High sugar content with quick energy boost,Organic Yogurt,Healthy and natural alternatives,English,0,3,Mexico,5 days from packing
221,Britannia Biscuits,Flour,Amul,Frozen Foods,"Milk Chocolate, Sugar",Sweetener,No,Allergen Content,200g per day,Yes,Yes,Yes (Occasional),Provides energy but may contribute to weight gain,Dark Chocolate,Healthy and natural alternatives,English,1,2,Australia,5 days from packing
222,Lay's Chips,Milk,Coca-Cola,Snacks,"Potatoes, Oil, Salt",Additive,No,High Sodium,Moderate Intake,Yes (Occasional),Yes (Occasional),No,High sugar content with quick energy boost,Organic Yogurt,Healthy and natural alternatives,English,1,3,USA,7 days from packing
223,McCain French Fries,Carbonated Water,Britannia,Dairy Products,"Milk, Sugar, Culture",Dairy,Yes,High Sodium,100g per day,Yes,Yes,No,Rich in fat and carbohydrates,Dark Chocolate,Healthy and natural alternatives,English,2,3,USA,14 days from packing
224,McCain French Fries,Flour,Haldiram's,Frozen Foods,"Potatoes, Oil, Salt",Carbohydrate,Yes,High Sodium,Moderate Intake,Limited,Yes (Occasional),Limited,Source of fiber and moderate sugar,Dark Chocolate,Healthy and natural alternatives,English,0,3,Canada,7 days from packing
225,Cadbury Dairy Milk,Flour,Amul,Dairy Products,"Milk, Sugar, Culture",Additive,Yes,Chemical Additives,Moderate Intake,Yes (Occasional),Limited,Yes,Rich in fat and carbohydrates,Dark Chocolate,Healthy and natural alternatives,English,2,3,USA,5 days from packing
226,McCain French Fries,Potatoes,Coca-Cola,Snacks,"Potatoes, Vegetable Oil, Salt",Carbohydrate,Yes,Allergen Content,100g per day,No,Yes,Yes,Provides energy but may contribute to weight gain,Homemade Snacks,Healthy and natural alternatives,English,1,3,USA,5 days from packing
227,Epigamia Greek Yogurt,Potatoes,Lay's,Confectionery,"Potatoes, Vegetable Oil, Salt",Protein,No,Chemical Additives,200g per day,Limited,Yes (Occasional),Limited,Source of fiber and moderate sugar,Homemade Snacks,Healthy and natural alternatives,English,1,3,India,7 days from packing
228,Britannia Biscuits,Flour,Amul,Confectionery,"Potatoes, Oil, Salt",Sweetener,No,High Sodium,200g per day,Yes,Yes,No,Rich in fat and carbohydrates,Baked Fries,Healthy and natural alternatives,English,1,3,Canada,5 days from packing
229,McCain French Fries,Carbonated Water,Haldiram's,Dairy Products,"Flour, Butter, Sugar",Carbohydrate,No,None,200g per day,Limited,Limited,No,High sugar content with quick energy boost,Baked Fries,Healthy and natural alternatives,English,1,3,Mexico,5 days from packing
230,McCain French Fries,Milk Chocolate,Britannia,Snacks,"Milk, Sugar, Culture",Protein,Yes,High Sodium,Moderate Intake,Limited,No,Yes,Source of fiber and moderate sugar,Organic Yogurt,Healthy and natural alternatives,English,0,3,Canada,14 days from packing
231,Lay's Chips,Flour,Haldiram's,Beverages,"Carbonated Water, Sugar",Carbohydrate,No,Allergen Content,100g per day,Yes (Occasional),Yes,Limited,Rich in fat and carbohydrates,Dark Chocolate,Healthy and natural alternatives,English,2,2,Mexico,5 days from packing
232,Lay's Chips,Flour,Coca-Cola,Dairy Products,"Milk Chocolate, Sugar",Sweetener,No,Chemical Additives,As Desired,Yes,Yes (Occasional),Yes,Provides energy but may contribute to weight gain,Organic Yogurt,Healthy and natural alternatives,English,0,2,USA,5 days from packing
233,Britannia Biscuits,Potatoes,Amul,Confectionery,"Milk, Sugar, Culture",Dairy,Yes,Allergen Content,100g per day,Yes,Yes,No,High sugar content with quick energy boost,Homemade Snacks,Healthy and natural alternatives,English,2,3,India,7 days from packing
234,Britannia Biscuits,Potatoes,Nestle,Dairy Products,"Carbonated Water, Sugar",Carbohydrate,Yes,None,Moderate Intake,Yes (Occasional),Limited,No,Provides energy but may contribute to weight gain,Sugar-free Drinks,Healthy and natural alternatives,English,0,2,Canada,14 days from packing
235,Lay's Chips,Milk,Amul,Beverages,"Potatoes, Vegetable Oil, Salt",Carbohydrate,No,Allergen Content,Moderate Intake,Yes,Yes,No,Sweet treat with high sugar content,Dark Chocolate,Healthy and natural alternatives,English,2,3,Australia,7 days from packing
236,Cadbury Dairy Milk,Potatoes,Amul,Beverages,"Milk Chocolate, Sugar",Fat,Yes,High Sodium,As Desired,No,Yes,Limited,High in calcium and protein,Sugar-free Drinks,Healthy and natural alternatives,English,1,2,India,5 days from packing
237,Lay's Chips,Potatoes,Amul,Frozen Foods,"Potatoes, Oil, Salt",Fat,No,None,200g per day,Limited,No,Yes,High in calcium and protein,Homemade Snacks,Healthy and natural alternatives,English,0,3,India,7 days from packing
238,Britannia Biscuits,Potatoes,Amul,Frozen Foods,"Flour, Butter, Sugar",Protein,Yes,High Sodium,As Desired,Yes (Occasional),No,No,Sweet treat with high sugar content,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,Mexico,5 days from packing
239,McCain French Fries,Potatoes,Haldiram's,Beverages,"Potatoes, Vegetable Oil, Salt",Sweetener,Yes,Chemical Additives,As Desired,Yes (Occasional),Limited,Yes (Occasional),Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,Canada,14 days from packing
240,McCain French Fries,Potatoes,Amul,Frozen Foods,"Potatoes, Vegetable Oil, Salt",Sweetener,Yes,None,100g per day,Yes,No,Yes,High in calcium and protein,Baked Fries,Healthy and natural alternatives,English,1,3,Canada,14 days from packing
241,Cadbury Dairy Milk,Flour,Amul,Snacks,"Flour, Butter, Sugar",Protein,No,Chemical Additives,As Desired,Limited,Yes,Yes (Occasional),Rich in fat and carbohydrates,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,Australia,14 days from packing
242,Britannia Biscuits,Potatoes,Nestle,Confectionery,"Potatoes, Oil, Salt",Additive,Yes,High Sodium,100g per day,No,Limited,Yes (Occasional),Rich in fat and carbohydrates,Sugar-free Drinks,Healthy and natural alternatives,English,2,3,Australia,7 days from packing
243,Cadbury Dairy Milk,Milk Chocolate,Britannia,Frozen Foods,"Milk, Sugar, Culture",Carbohydrate,Yes,High Sodium,100g per day,No,Limited,No,Provides energy but may contribute to weight gain,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,USA,14 days from packing
244,McCain French Fries,Milk,Lay's,Dairy Products,"Flour, Butter, Sugar",Fat,Yes,Allergen Content,100g per day,Yes (Occasional),Yes,Yes (Occasional),High sugar content with quick energy boost,Sugar-free Drinks,Healthy and natural alternatives,English,2,3,Mexico,7 days from packing
245,Britannia Biscuits,Potatoes,Amul,Frozen Foods,"Carbonated Water, Sugar",Protein,No,Chemical Additives,100g per day,Yes (Occasional),Yes,No,High sugar content with quick energy boost,Baked Fries,Healthy and natural alternatives,English,2,2,India,5 days from packing
246,Cadbury Dairy Milk,Milk Chocolate,Lay's,Confectionery,"Potatoes, Oil, Salt",Additive,No,Chemical Additives,As Desired,No,Yes (Occasional),Yes (Occasional),Provides energy but may contribute to weight gain,Sugar-free Drinks,Healthy and natural alternatives,English,1,3,Australia,7 days from packing
247,Cadbury Dairy Milk,Potatoes,Amul,Dairy Products,"Potatoes, Oil, Salt",Fat,Yes,None,100g per day,Yes,Yes,No,Sweet treat with high sugar content,Baked Fries,Healthy and natural alternatives,English,1,3,India,7 days from packing
248,Britannia Biscuits,Carbonated Water,Coca-Cola,Confectionery,"Flour, Butter, Sugar",Fat,No,Allergen Content,100g per day,Yes,No,No,Provides energy but may contribute to weight gain,Organic Yogurt,Healthy and natural alternatives,English,0,3,Mexico,7 days from packing
249,McCain French Fries,Milk,Nestle,Confectionery,"Flour, Butter, Sugar",Carbohydrate,No,Allergen Content,200g per day,Limited,Yes,Limited,High in calcium and protein,Homemade Snacks,Healthy and natural alternatives,English,0,3,Australia,14 days from packing
250,Britannia Biscuits,Potatoes,Coca-Cola,Snacks,"Milk, Sugar, Culture",Sweetener,Yes,None,100g per day,No,No,Yes,Source of fiber and moderate sugar,Dark Chocolate,Healthy and natural alternatives,English,0,3,Australia,7 days from packing
251,McCain French Fries,Milk,Lay's,Frozen Foods,"Carbonated Water, Sugar",Sweetener,Yes,None,As Desired,No,Limited,No,Provides energy but may contribute to weight gain,Dark Chocolate,Healthy and natural alternatives,English,0,2,India,14 days from packing
252,Epigamia Greek Yogurt,Flour,Lay's,Confectionery,"Milk, Sugar, Culture",Dairy,No,Chemical Additives,200g per day,Yes (Occasional),Yes (Occasional),Yes,Rich in fat and carbohydrates,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,Australia,14 days from packing
253,Lay's Chips,Potatoes,Lay's,Confectionery,"Carbonated Water, Sugar",Sweetener,No,High Sodium,As Desired,Yes,Yes,Yes,Source of fiber and moderate sugar,Homemade Snacks,Healthy and natural alternatives,English,0,2,Mexico,7 days from packing
254,Coca-Cola Classic,Potatoes,Coca-Cola,Dairy Products,"Flour, Butter, Sugar",Additive,Yes,High Sodium,Moderate Intake,No,Yes,Limited,Source of fiber and moderate sugar,Homemade Snacks,Healthy and natural alternatives,English,0,3,Australia,5 days from packing
255,Cadbury Dairy Milk,Potatoes,Haldiram's,Confectionery,"Milk Chocolate, Sugar",Additive,Yes,None,100g per day,Limited,Limited,No,Sweet treat with high sugar content,Organic Yogurt,Healthy and natural alternatives,English,1,2,USA,5 days from packing
256,Epigamia Greek Yogurt,Carbonated Water,Coca-Cola,Beverages,"Milk Chocolate, Sugar",Carbohydrate,Yes,Allergen Content,200g per day,Yes,Yes,No,Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,1,2,USA,7 days from packing
257,Coca-Cola Classic,Flour,Lay's,Frozen Foods,"Milk, Sugar, Culture",Dairy,Yes,None,200g per day,No,No,Limited,Source of fiber and moderate sugar,Baked Fries,Healthy and natural alternatives,English,1,3,USA,5 days from packing
258,Cadbury Dairy Milk,Potatoes,Coca-Cola,Dairy Products,"Flour, Butter, Sugar",Carbohydrate,No,Allergen Content,200g per day,Yes (Occasional),Limited,Yes,Source of fiber and moderate sugar,Organic Yogurt,Healthy and natural alternatives,English,2,3,Australia,7 days from packing
259,Lay's Chips,Carbonated Water,Amul,Confectionery,"Carbonated Water, Sugar",Carbohydrate,Yes,Chemical Additives,As Desired,Limited,Yes (Occasional),Limited,Source of fiber and moderate sugar,Organic Yogurt,Healthy and natural alternatives,English,2,2,USA,14 days from packing
260,Coca-Cola Classic,Potatoes,Haldiram's,Confectionery,"Milk Chocolate, Sugar",Dairy,No,Allergen Content,As Desired,No,Yes,Yes (Occasional),Rich in fat and carbohydrates,Whole-grain Biscuits,Healthy and natural alternatives,English,2,2,Australia,5 days from packing
261,McCain French Fries,Milk Chocolate,Nestle,Snacks,"Milk, Sugar, Culture",Additive,No,Allergen Content,As Desired,No,No,Yes,Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,Canada,7 days from packing
262,Epigamia Greek Yogurt,Potatoes,Haldiram's,Dairy Products,"Flour, Butter, Sugar",Additive,No,Allergen Content,Moderate Intake,No,Yes (Occasional),Yes (Occasional),High in calcium and protein,Sugar-free Drinks,Healthy and natural alternatives,English,1,3,Australia,14 days from packing
263,Coca-Cola Classic,Flour,Coca-Cola,Confectionery,"Potatoes, Oil, Salt",Carbohydrate,Yes,Chemical Additives,Moderate Intake,No,Limited,Limited,Rich in fat and carbohydrates,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,Mexico,7 days from packing
264,Epigamia Greek Yogurt,Milk Chocolate,Amul,Frozen Foods,"Flour, Butter, Sugar",Additive,No,High Sodium,200g per day,No,Limited,Yes (Occasional),Rich in fat and carbohydrates,Baked Fries,Healthy and natural alternatives,English,2,3,Canada,5 days from packing
265,McCain French Fries,Potatoes,Nestle,Confectionery,"Flour, Butter, Sugar",Sweetener,No,High Sodium,100g per day,No,Yes (Occasional),Yes (Occasional),Source of fiber and moderate sugar,Baked Fries,Healthy and natural alternatives,English,1,3,Canada,14 days from packing
266,Cadbury Dairy Milk,Flour,Britannia,Snacks,"Milk Chocolate, Sugar",Fat,No,None,As Desired,Limited,Limited,Yes,High sugar content with quick energy boost,Baked Fries,Healthy and natural alternatives,English,0,2,Mexico,14 days from packing
267,Epigamia Greek Yogurt,Flour,Amul,Snacks,"Milk, Sugar, Culture",Fat,Yes,High Sodium,As Desired,Yes,No,Yes (Occasional),Provides energy but may contribute to weight gain,Baked Fries,Healthy and natural alternatives,English,2,3,Mexico,5 days from packing
268,Epigamia Greek Yogurt,Potatoes,Coca-Cola,Frozen Foods,"Carbonated Water, Sugar",Protein,Yes,High Sodium,100g per day,Yes (Occasional),No,Yes,Rich in fat and carbohydrates,Sugar-free Drinks,Healthy and natural alternatives,English,1,2,Canada,7 days from packing
269,Lay's Chips,Milk,Amul,Dairy Products,"Potatoes, Vegetable Oil, Salt",Sweetener,No,Allergen Content,200g per day,No,Yes,Yes,Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,India,5 days from packing
270,Britannia Biscuits,Flour,Haldiram's,Dairy Products,"Milk, Sugar, Culture",Sweetener,No,None,As Desired,Yes,Yes,Limited,High in calcium and protein,Homemade Snacks,Healthy and natural alternatives,English,1,3,Mexico,7 days from packing
271,Coca-Cola Classic,Milk,Haldiram's,Frozen Foods,"Potatoes, Oil, Salt",Dairy,Yes,Allergen Content,As Desired,Yes (Occasional),Limited,Limited,Rich in fat and carbohydrates,Dark Chocolate,Healthy and natural alternatives,English,0,3,USA,7 days from packing
272,Coca-Cola Classic,Carbonated Water,Nestle,Frozen Foods,"Potatoes, Oil, Salt",Carbohydrate,Yes,Chemical Additives,As Desired,Limited,Yes,Limited,Source of fiber and moderate sugar,Organic Yogurt,Healthy and natural alternatives,English,1,3,India,5 days from packing
273,Lay's Chips,Milk Chocolate,Coca-Cola,Frozen Foods,"Potatoes, Vegetable Oil, Salt",Additive,No,Allergen Content,Moderate Intake,No,Yes,Yes (Occasional),Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,1,3,India,5 days from packing
274,Britannia Biscuits,Milk Chocolate,Haldiram's,Snacks,"Potatoes, Oil, Salt",Dairy,Yes,None,As Desired,Limited,Limited,Limited,High sugar content with quick energy boost,Organic Yogurt,Healthy and natural alternatives,English,0,3,India,5 days from packing
275,Coca-Cola Classic,Potatoes,Coca-Cola,Frozen Foods,"Potatoes, Vegetable Oil, Salt",Carbohydrate,No,None,200g per day,Limited,No,Limited,High sugar content with quick energy boost,Baked Fries,Healthy and natural alternatives,English,1,3,Mexico,7 days from packing
276,Britannia Biscuits,Potatoes,Lay's,Dairy Products,"Carbonated Water, Sugar",Protein,No,Allergen Content,As Desired,Limited,Yes (Occasional),Yes (Occasional),Provides energy but may contribute to weight gain,Organic Yogurt,Healthy and natural alternatives,English,2,2,India,14 days from packing
277,Lay's Chips,Carbonated Water,Lay's,Confectionery,"Potatoes, Oil, Salt",Protein,Yes,None,Moderate Intake,Yes,Yes,No,High in calcium and protein,Baked Fries,Healthy and natural alternatives,English,2,3,Australia,14 days from packing
278,Coca-Cola Classic,Potatoes,Amul,Confectionery,"Potatoes, Vegetable Oil, Salt",Sweetener,No,Allergen Content,200g per day,Yes (Occasional),No,Limited,Source of fiber and moderate sugar,Homemade Snacks,Healthy and natural alternatives,English,2,3,India,14 days from packing
279,McCain French Fries,Potatoes,Britannia,Frozen Foods,"Milk, Sugar, Culture",Fat,Yes,Allergen Content,100g per day,Yes,Yes,No,High sugar content with quick energy boost,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,Mexico,7 days from packing
280,Lay's Chips,Potatoes,Nestle,Beverages,"Milk, Sugar, Culture",Additive,No,Chemical Additives,100g per day,Yes,Yes,No,Sweet treat with high sugar content,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,Australia,5 days from packing
281,McCain French Fries,Milk Chocolate,Britannia,Dairy Products,"Milk, Sugar, Culture",Carbohydrate,Yes,Allergen Content,100g per day,Yes (Occasional),No,Yes (Occasional),Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,India,5 days from packing
282,Lay's Chips,Potatoes,Haldiram's,Snacks,"Carbonated Water, Sugar",Fat,Yes,Allergen Content,100g per day,Yes (Occasional),Limited,No,Provides energy but may contribute to weight gain,Dark Chocolate,Healthy and natural alternatives,English,2,2,India,5 days from packing
283,Britannia Biscuits,Potatoes,Britannia,Frozen Foods,"Potatoes, Oil, Salt",Additive,No,Allergen Content,100g per day,No,Limited,Yes (Occasional),High sugar content with quick energy boost,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,Mexico,7 days from packing
284,Coca-Cola Classic,Potatoes,Nestle,Beverages,"Carbonated Water, Sugar",Dairy,No,High Sodium,As Desired,Limited,Yes (Occasional),Yes,Source of fiber and moderate sugar,Organic Yogurt,Healthy and natural alternatives,English,0,2,USA,7 days from packing
285,Coca-Cola Classic,Potatoes,Lay's,Dairy Products,"Potatoes, Vegetable Oil, Salt",Dairy,Yes,Chemical Additives,100g per day,Limited,Yes,No,Source of fiber and moderate sugar,Sugar-free Drinks,Healthy and natural alternatives,English,2,3,India,5 days from packing
286,Lay's Chips,Milk,Lay's,Confectionery,"Milk Chocolate, Sugar",Fat,No,Allergen Content,As Desired,Yes (Occasional),Yes,No,High in calcium and protein,Homemade Snacks,Healthy and natural alternatives,English,1,2,Australia,7 days from packing
287,Coca-Cola Classic,Potatoes,Amul,Confectionery,"Carbonated Water, Sugar",Additive,Yes,Chemical Additives,100g per day,Yes,Yes,No,Rich in fat and carbohydrates,Baked Fries,Healthy and natural alternatives,English,0,2,Canada,5 days from packing
288,McCain French Fries,Potatoes,Lay's,Frozen Foods,"Milk Chocolate, Sugar",Protein,No,High Sodium,100g per day,Limited,Yes,Yes,Rich in fat and carbohydrates,Dark Chocolate,Healthy and natural alternatives,English,1,2,Australia,14 days from packing
289,Coca-Cola Classic,Milk Chocolate,Nestle,Dairy Products,"Flour, Butter, Sugar",Carbohydrate,No,Allergen Content,Moderate Intake,Limited,Yes (Occasional),Limited,Provides energy but may contribute to weight gain,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,India,5 days from packing
290,Cadbury Dairy Milk,Potatoes,Britannia,Frozen Foods,"Flour, Butter, Sugar",Protein,No,None,As Desired,No,Limited,Limited,Provides energy but may contribute to weight gain,Baked Fries,Healthy and natural alternatives,English,2,3,USA,5 days from packing
291,Epigamia Greek Yogurt,Potatoes,Coca-Cola,Snacks,"Potatoes, Oil, Salt",Carbohydrate,No,High Sodium,200g per day,Limited,Yes (Occasional),Yes (Occasional),Provides energy but may contribute to weight gain,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,Australia,5 days from packing
292,Lay's Chips,Potatoes,Haldiram's,Beverages,"Potatoes, Oil, Salt",Dairy,No,High Sodium,As Desired,Yes (Occasional),Limited,No,Source of fiber and moderate sugar,Homemade Snacks,Healthy and natural alternatives,English,2,3,Canada,14 days from packing
293,McCain French Fries,Milk,Nestle,Confectionery,"Potatoes, Vegetable Oil, Salt",Additive,No,Chemical Additives,200g per day,Yes,Yes,No,Rich in fat and carbohydrates,Baked Fries,Healthy and natural alternatives,English,2,3,USA,7 days from packing
294,Epigamia Greek Yogurt,Milk Chocolate,Haldiram's,Dairy Products,"Flour, Butter, Sugar",Carbohydrate,No,Allergen Content,As Desired,Limited,Limited,Yes,Rich in fat and carbohydrates,Dark Chocolate,Healthy and natural alternatives,English,1,3,India,14 days from packing
295,Coca-Cola Classic,Carbonated Water,Amul,Frozen Foods,"Potatoes, Oil, Salt",Fat,No,None,200g per day,Limited,Yes,No,Rich in fat and carbohydrates,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,India,7 days from packing
296,Coca-Cola Classic,Milk Chocolate,Coca-Cola,Frozen Foods,"Milk, Sugar, Culture",Protein,Yes,Chemical Additives,As Desired,Yes (Occasional),Limited,Yes (Occasional),High in calcium and protein,Organic Yogurt,Healthy and natural alternatives,English,2,3,India,14 days from packing
297,Cadbury Dairy Milk,Flour,Amul,Beverages,"Potatoes, Vegetable Oil, Salt",Fat,Yes,Allergen Content,As Desired,Yes,No,Yes,Source of fiber and moderate sugar,Organic Yogurt,Healthy and natural alternatives,English,2,3,Canada,14 days from packing
298,Epigamia Greek Yogurt,Milk Chocolate,Nestle,Snacks,"Flour, Butter, Sugar",Sweetener,Yes,Allergen Content,As Desired,Limited,Yes (Occasional),Yes,Source of fiber and moderate sugar,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,Australia,7 days from packing
299,Lay's Chips,Milk,Nestle,Snacks,"Flour, Butter, Sugar",Carbohydrate,Yes,None,100g per day,Limited,No,Limited,Provides energy but may contribute to weight gain,Organic Yogurt,Healthy and natural alternatives,English,2,3,Australia,7 days from packing
300,Lay's Chips,Milk Chocolate,Nestle,Dairy Products,"Potatoes, Vegetable Oil, Salt",Sweetener,No,Allergen Content,200g per day,Limited,Limited,No,High sugar content with quick energy boost,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,Australia,5 days from packing
301,Epigamia Greek Yogurt,Carbonated Water,Lay's,Confectionery,"Milk Chocolate, Sugar",Sweetener,Yes,Chemical Additives,Moderate Intake,No,Limited,Yes (Occasional),Source of fiber and moderate sugar,Sugar-free Drinks,Healthy and natural alternatives,English,1,2,USA,5 days from packing
302,Britannia Biscuits,Flour,Coca-Cola,Dairy Products,"Carbonated Water, Sugar",Protein,Yes,Allergen Content,As Desired,Yes (Occasional),No,Yes,Source of fiber and moderate sugar,Homemade Snacks,Healthy and natural alternatives,English,1,2,Canada,14 days from packing
303,McCain French Fries,Potatoes,Nestle,Confectionery,"Milk Chocolate, Sugar",Protein,Yes,Chemical Additives,200g per day,Yes (Occasional),Yes (Occasional),No,Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,1,2,Mexico,14 days from packing
304,Coca-Cola Classic,Potatoes,Coca-Cola,Confectionery,"Flour, Butter, Sugar",Dairy,Yes,High Sodium,As Desired,Yes,No,No,High sugar content with quick energy boost,Organic Yogurt,Healthy and natural alternatives,English,2,3,USA,14 days from packing
305,Epigamia Greek Yogurt,Potatoes,Amul,Dairy Products,"Flour, Butter, Sugar",Protein,Yes,Allergen Content,100g per day,Yes,Limited,Limited,Sweet treat with high sugar content,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,Australia,14 days from packing
306,Lay's Chips,Milk,Nestle,Confectionery,"Milk, Sugar, Culture",Additive,Yes,High Sodium,As Desired,Limited,Limited,Limited,Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,0,3,Australia,5 days from packing
307,Cadbury Dairy Milk,Carbonated Water,Coca-Cola,Dairy Products,"Carbonated Water, Sugar",Sweetener,No,Chemical Additives,100g per day,Limited,No,Limited,Rich in fat and carbohydrates,Baked Fries,Healthy and natural alternatives,English,0,2,Canada,7 days from packing
